text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,created_date,periodo,n_words,tweet_cleaned
"Este equipo multisectorial inspeccionará los centros de salud donde se realiza triaje diferenciado para #COVID19, s https://t.co/NAYp5wMi1z",False,12,Minsa_Peru,2020-05-19 16:13:30,True,1.262778414467027e+18,1262778415461138438,138471254.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Minsa_Peru,2,False,False,,,2020-05-19 16:13:30,202005,17,equipo multisectorial inspeccionar centro salud realizar triaje diferenciado covid s https tconaypwmiz 
"Estos fueron entregados por el viceministro de Prestaciones y Aseguramiento en Salud, Victor Bocangel en conjunto c https://t.co/qTNIFn0ot9",False,12,Minsa_Peru,2020-05-19 16:13:29,True,1.2627784126299955e+18,1262778414467026946,138471254.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Minsa_Peru,1,False,False,,,2020-05-19 16:13:29,202005,18,entregar viceministro prestación aseguramiento salud victor bocangel conjunto c https tcoqtnifnot 
"Hoy, llevamos 2.2 toneladas en equipos de protección personal a Cusco. Entre los insumos para la lucha contra el https://t.co/yvgiGLkICg",False,66,,2020-05-19 16:13:29,True,,1262778412629995521,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Minsa_Peru,8,False,False,,,2020-05-19 16:13:29,202005,20,hoy llevar tonelada equipo proteccion personal cusco insumo lucha https tcoyvgiglkicg 
Proteger la salud de los niños<U+0001F466><U+0001F467> del #COVID19 está en nuestras manos. Si como padre de familia has decidido salir c https://t.co/2iz2d1889l,False,78,,2020-05-19 15:07:29,True,,1262761804603617289,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Minsa_Peru,26,False,False,,,2020-05-19 15:07:29,202005,22,proteger salud nino uf uf covid mano padre familia decidido salir c https tcoizdl 
"Durante los 15 días de aislamiento, los pacientes con Covid-19 son evaluados permanentemente por un equipo que tamb https://t.co/R68C8Coujm",False,242,,2020-05-19 01:30:00,True,,1262556076643241985,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Minsa_Peru,57,False,False,,,2020-05-19 01:30:00,202005,19,dia aislamiento paciente covid evaluado permanentemente equipo tamb https tcorccoujm 
"¡Seguimos protegiendo a los más vulnerables! En Barranco, las brigadas de vacunación visitaron las casas de menores https://t.co/VDvmi2EMrK",False,239,,2020-05-19 00:58:55,True,,1262548255759634433,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Minsa_Peru,48,False,False,,,2020-05-19 00:58:55,202005,18,seguir proteger vulnerable barranco brigada vacunacion visitar casa menor https tcovdvmiemrk 
Ministro @victorzamora: La próxima semana expertos de China empezarán a trabajar con nuestros profesionales para la https://t.co/uU3n68ieTU,False,160,Minsa_Peru,2020-05-18 22:52:25,True,1.2625164167643955e+18,1262516417963986951,138471254.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Minsa_Peru,31,False,False,,,2020-05-18 22:52:25,202005,17,ministro victorzamor proximar semana experto chino empezar trabajar profesional https tcouunietu 
"Ministro @victorzamora: Agradezco el apoyo solidario de la República Popular China, quien nos ha donado ventiladore https://t.co/LZvFTtewcc",False,127,Minsa_Peru,2020-05-18 22:52:24,True,1.2625164156655247e+18,1262516416764395522,138471254.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Minsa_Peru,21,False,False,,,2020-05-18 22:52:24,202005,17,ministro victorzamor agradecer apoyo solidario republica popular chino donado ventiladore https tcolzvftir 
Ministro @victorzamora: Gracias a todos los trabajadores que han entendido que #LaSaludNosUne. Estos equipos ya pro https://t.co/AvllhQLkwm,False,60,Minsa_Peru,2020-05-18 22:52:24,True,1.2625164137570386e+18,1262516415665524737,138471254.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Minsa_Peru,12,False,False,,,2020-05-18 22:52:24,202005,17,ministro victorzamor gracias trabajador entendido lasaludnosune equipo pro https tcoavllhqlkwm 
"El embajador de la República Popular China en el Perú, Liang Yu, destacó los estrechos lazos de amistad entre los d https://t.co/baXhZlTU2T",False,76,Minsa_Peru,2020-05-18 22:52:24,True,1.262516411995472e+18,1262516413757038592,138471254.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Minsa_Peru,19,False,False,,,2020-05-18 22:52:24,202005,22,embajador republica popular chino peru liang yu destacar estrecho lazo amistad d https tcobaxhzltut 
